"STUDENT_PA","PLOVDIV_UNIVERSITY","null","Hello"
"PLOVDIV_UNIVERSITY","STUDENT_PA","Hello","Hello student"
"STUDENT_PA","PLOVDIV_UNIVERSITY","null","What is my schedule for the current semester"
"PLOVDIV_UNIVERSITY","STUDENT_PA","What is my schedule for the current semester","You can find it in the web site"
"STUDENT_PA","PLOVDIV_UNIVERSITY","null","Are there any lectures that I need to attend today"
"PLOVDIV_UNIVERSITY","STUDENT_PA","Are there any lectures that I need to attend today","Yes you have"
"STUDENT_PA","PLOVDIV_UNIVERSITY","null","Thank you for the information"
"PLOVDIV_UNIVERSITY","STUDENT_PA","Thank you for the information","You are welcome"
"STUDENT_PA","BUS_STATION","null","Are there any busses available soon"
"BUS_STATION","STUDENT_PA","Are there any busses available soon","Unfortunately no"
"STUDENT_PA","TAXI","null","Are there any free taxi cars soon"
"TAXI","STUDENT_PA","Are there any free taxi cars soon","No the taxi cars are busy now"
"STUDENT_PA","PLOVDIV_UNIVERSITY","null","I am not able to attend the lectures today"
"PLOVDIV_UNIVERSITY","STUDENT_PA","I am not able to attend the lectures today","Okay it is not an issue"
"STUDENT_PA","PLOVDIV_UNIVERSITY","null","Can you give me the lectures from today"
"PLOVDIV_UNIVERSITY","STUDENT_PA","Can you give me the lectures from today","Sending lectures"
"STUDENT_PA","PLOVDIV_UNIVERSITY","null","Thank you"
"PLOVDIV_UNIVERSITY","STUDENT_PA","Thank you","No worries"
"STUDENT_PA","PLOVDIV_UNIVERSITY","null","When is my exam"
"PLOVDIV_UNIVERSITY","STUDENT_PA","When is my exam","At the end of the semester"
"STUDENT_PA","PLOVDIV_UNIVERSITY","null","Should the exam be online"
"PLOVDIV_UNIVERSITY","STUDENT_PA","Should the exam be online","Yes because of the pandemic the exam will be online"
"STUDENT_PA","PLOVDIV_UNIVERSITY","null","Can you give some examples for the exam"
"PLOVDIV_UNIVERSITY","STUDENT_PA","Can you give some examples for the exam","NO"
"STUDENT_PA","PLOVDIV_UNIVERSITY","null","Okay thank you for the whole information that you gave me"
"PLOVDIV_UNIVERSITY","STUDENT_PA","Okay thank you for the whole information that you gave me","No worries see you soon"
"STUDENT_PA","PLOVDIV_UNIVERSITY","null","See you on the exam"
"PLOVDIV_UNIVERSITY","STUDENT_PA","See you on the exam","BYE"
