"PLOVDIV_UNIVERSITY","STUDENT_PA","null","Hello student you have an exam tomorrow"
"STUDENT_PA","PLOVDIV_UNIVERSITY","Hello student you have an exam tomorrow","Thanks for the information"
"PLOVDIV_UNIVERSITY","STUDENT_PA","null","Sending the exam"
"STUDENT_PA","PLOVDIV_UNIVERSITY","Sending the exam","I am done here are my answers of the questions"
"STUDENT_PA","PLOVDIV_UNIVERSITY","null","What is my grade"
"PLOVDIV_UNIVERSITY","STUDENT_PA","What is my grade","You have POOR 2"
"STUDENT_PA","PLOVDIV_UNIVERSITY","null","What is the next date of the exam"
"PLOVDIV_UNIVERSITY","STUDENT_PA","What is the next date of the exam","You can check that into the web site of the university"
"STUDENT_PA","PLOVDIV_UNIVERSITY","null","Thanks for the information"
"PLOVDIV_UNIVERSITY","STUDENT_PA","Thanks for the information","You are welcome"
"STUDENT_PA","PLOVDIV_UNIVERSITY","null","Bye"
"PLOVDIV_UNIVERSITY","STUDENT_PA","Bye","See you soon"
